"title","author","original"
"奴隷根性論","大杉栄","「全集・現代文学の発見・第一巻最初の衝撃」学芸書林"
"秋の暈","織田作之助","「日本の名随筆19秋」作品社"
"運動会の風景","葉山嘉樹","「日本の名随筆19秋」作品社"
"遺言三種","森鴎外","「日本の名随筆別巻17遺言」作品社"
"霜夜","芥川龍之介","「芥川龍之介全集第十巻」岩波書店"
"美術曲芸しん粉細工","阿部徳蔵","「日本の名随筆別巻7奇術」作品社"
"描かれた花","有島武郎","「日本の名随筆23画」作品社"
"新日本の進路","石原莞爾將軍の遺書","「石原莞爾全集第二巻」石原莞爾全集刊行会"
"顔の美について","伊丹万作","「日本の名随筆40顔」作品社"
"人相見","内田魯庵","「日本の名随筆82占」作品社"
"詩と散文との間を行く發想法","折口信夫","「折口信夫全集廿七卷」"
"小説の豫言者","折口信夫","「折口信夫全集廿七卷」"
"月譜","大町桂月","「日本の名随筆58月」作品社"
"雜煮","岡本かの子","「日本の名随筆17春」作品社"
"新茶","岡本かの子","「日本の名随筆24茶」作品社"
"かの日の歌【三】","漢那浪笛","「沖縄文学全集第1巻詩※」国書刊行会"
"易と手相","菊池寛","「日本の名随筆82占」作品社"
"パンの会の回想","木下杢太郎","「日本の名随筆別巻3珈琲」作品社"
"棕梠のそよぎ","漢那浪笛","「沖縄文学全集第1巻詩※」国書刊行会"
"本因坊と私","関根金次郎","「日本の名随筆別巻11囲碁2」作品社"
"時","鷹野つぎ","「日本の名随筆91時」作品社"
"落語家たち","武田麟太郎","「日本の名随筆別巻29落語」作品社"
"ある眼","竹久夢二","「日本の名随筆40顔」作品社"
"男…は疲れている","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"私の本年の希望と計画","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"四時の変化と関りのない書斎","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"書斎の条件","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"露西亜の実生活","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"プロレタリア美術展を観る","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"「女人芸術」か「女人大衆」かの批判について","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"ソヴェトの「労働者クラブ」","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"ソヴェトに於ける「恋愛の自由」に就て","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"ゆがめられた純情","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"今日の文章","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"「現代百婦人録」問合せに答えて","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"『進み行く娘達へ』に寄せて","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"歴史と文学","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"「播州平野」創作メモ","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"「風知草」創作メモ","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"生きるための恋愛","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"選評","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"“生れた権利”をうばうな","――寿産院事件について――","「宮本百合子全集第三十巻」新日本出版社"
"これでは囚人扱い","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"平和を保つため","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"東宝争議について","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"心から送る拍手","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"山崎富栄の日記をめぐって","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"批評は解放の組織者である","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"泉山問題について","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"三つのばあい・未亡人はどう生きたらいいか","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"「道標」創作メモ","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"「広場」について","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"はしがき（『十二年の手紙』その一）","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"気になったこと","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"戦争・平和・曲学阿世","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"東大での話の原稿","一九五〇・十二月八日","「宮本百合子全集第三十巻」新日本出版社"
"心配","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"大きい足袋","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"砂丘","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"死に対して","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"ピッチの様に","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"霜柱","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"南風","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"たより","宮本百合子","「宮本百合子全集第三十巻」新日本出版社"
"遺書","芥川龍之介","「芥川龍之介全集第二十三巻」岩波書店"
"かくめい","太宰治","「太宰治全集10」ちくま文庫、筑摩書房"
"栄螺","田畑修一郎","「日本の名随筆18夏」作品社"
"道綱の母","田山花袋","「田山花袋全集第十二巻」文泉堂書店"
"新茶のかおり","田山花袋","「日本の名随筆18夏」作品社"
"猟人","津村信夫","「日本の名随筆20冬」作品社"
"思想と風俗","戸坂潤","「戸坂潤全集第四巻」勁草書房"
"道徳の観念","戸坂潤","「戸坂潤全集第四巻」勁草書房"
"文溯閣の四庫全書","内藤湖南","「内藤湖南全集第十二卷」筑摩書房"
"概括的唐宋時代觀","内藤湖南","「内藤湖南全集第八卷」筑摩書房"
"文藝作品の映畫化","南部修太郎","「映畫時代五月號」文藝春秋社"
"装幀の意義","萩原朔太郎","「日本の名随筆別巻87装丁」作品社"
"井戸の底に埃の溜つた話","葉山嘉樹","「日本の名随筆33水」作品社"
"遺言文学","葉山嘉樹","「日本の名随筆別巻17遺言」作品社"
"夏の花","原民喜","「日本の原爆文学１」ほるぷ出版"
"嫉みの話","折口信夫","「日本の名随筆別巻77嫉妬」作品社"
"水野仙子氏の作品について","有島武郎","「叢書「青踏」の女たち第10巻水野仙子集」不二出版"
"汚ない家","横光利一","「日本の名随筆83家」作品社"
"頭ならびに腹","横光利一","「定本横光利一全集第一巻」河出書房新社"
"神馬","横光利一","「定本横光利一全集第一巻」河出書房新社"
"夢の影響","與謝野晶子","「日本の名随筆14夢」作品社"
"藤の花","若山牧水","「若山牧水全集第八巻」雄鶏社"
"警察官職務執行法","","「模範六法1993平成5年版」三省堂"
"尚書稽疑","内藤湖南","「内藤湖南全集第七卷」筑摩書房"
"猿面冠者","太宰治","「太宰治全集2」筑摩書房"
"征服の事実","大杉栄","「全集・現代文学の発見第一巻最初の衝撃」學藝書林"
"生の拡充","大杉栄","「全集・現代文学の発見・第一巻最初の衝撃」学芸書林"
"五題","山中貞雄","「山中貞雄作品集全一巻」実業之日本社"
"気まま者の日記","山中貞雄","「山中貞雄作品集全一巻」実業之日本社"
"雑録","――前進座に就いて――","「山中貞雄作品集全一巻」実業之日本社"
"農民芸術概論綱要","宮沢賢治","「【新】校本宮澤賢治全集第十三巻（上）覚書・手帳本文篇」筑摩書房"
"私の書斎","土田杏村","「日本の名随筆別巻6書斎」作品社"
"家庭の読書室","内田魯庵","「日本の名随筆別巻6書斎」作品社"
"旗本移転後の始末","勝海舟","「日本の名随筆別巻95明治」作品社"
"画学校時代","上村松園","「日本の名随筆別巻95明治」作品社"
"筆のしづく","幸徳秋水","「日本の名随筆別巻95明治」作品社"
"月","上田敏","「日本の名随筆58月」作品社"
"夏の月","川端茅舎","「日本の名随筆58月」作品社"
"「リラ」の女達","林芙美子","「林芙美子全集第十五巻」文泉堂出版"
"清修館挿話","林芙美子","「濡れた蘆」東方社"
"小さい花","林芙美子","「林芙美子全集第十五巻」文泉堂出版"
"谷間からの手紙","林芙美子","「林芙美子全集第十五巻」文泉堂出版"
"就職","林芙美子","「惡闘」中央公論社"
"幸福の彼方","林芙美子","「林芙美子全集第十五巻」文泉堂出版"
"秋果","林芙美子","「改造」改造社"
"婚期","林芙美子","「風琴と魚の町現代文学選（14）」鎌倉文庫"
"夜福","林芙美子","「旅館のバイブル」大阪新聞社東京支社"
"淪落","林芙美子","「あいびき」東方社"
"愛する人達","林芙美子","「林芙美子全集第十五巻」文泉堂出版"
"梟の大旅行","林芙美子","「童話集狐物語」國立書院"
"クララ","林芙美子","「童話集狐物語」國立書院"
"子供たち","林芙美子","「林芙美子全集第十五巻」文泉堂出版"
"絵本","林芙美子","「林芙美子全集第15巻」文泉堂出版"
"ひらめの学校","林芙美子","「林芙美子全集第15巻」文泉堂出版"
"お父さん","林芙美子","「林芙美子全集第十五巻」文泉堂出版"
"龜さん","林芙美子","「童話集狐物語」國立書院"
"鶴の笛","林芙美子","「林芙美子全集第十五巻」文泉堂出版"
"おにおん倶樂部","林芙美子","「童話集狐物語」國立書院"
"美しい犬","林芙美子","「童話集狐物語」國立書院"
"著者小傳","直木三十五","「直木三十五全集第21巻」示人社"
"鞦韆考","原勝郎","「日本中世史の研究」同文館"
"貢院の春","原勝郎","「日本中世史の研究」同文館"
"恋文","高田保","「日本の名随筆別巻36恋文」作品社"
"病床生活からの一発見","萩原朔太郎","「日本の名随筆28・病」作品社"
"病牀瑣事","正岡子規","「日本の名随筆28病」作品社"
"純情小曲集","跋","「萩原朔太郎全集第二卷」筑摩書房"
"逆行","太宰治","「太宰治全集2」筑摩書房"
"文学の本質について（一）","平林初之輔","「平林初之輔文藝評論全集上巻」文泉堂書店"
"近代支那の文化生活","内藤湖南","「内藤湖南全集第八卷」筑摩書房"
"藏書家の話","内藤湖南","「内藤湖南全集第十二卷」筑摩書房"
"支那古典學の研究法に就きて","内藤湖南","「内藤湖南全集第七卷」筑摩書房"
"禹貢製作の時代","内藤湖南","「内藤湖南全集第七卷」筑摩書房"
"樹木とその葉","跋","「若山牧水全集第七卷」雄鷄社"
"父帰る","小林多喜二","「日本プロレタリア文学集・20「戦旗」「ナップ」作家集（七）」新日本出版社"
"級長の願い","小林多喜二","「日本プロレタリア文学集・20「戦旗」「ナップ」作家集（七）」新日本出版社"
"文学の本質について（二）","平林初之輔","「平林初之輔文藝評論全集上巻」文泉堂書店"
"鼓舞さるべき仕事","――中野重治「汽車の罐焚き」――","「宮本百合子全集第十一巻」新日本出版社"
"「愛怨峡」における映画的表現の問題","宮本百合子","「宮本百合子全集第十一巻」新日本出版社"
"次が待たれるおくりもの","宮本百合子","「宮本百合子全集第十一巻」新日本出版社"
"現代の心をこめて","――羽仁五郎氏著『ミケルアンジェロ』――","「宮本百合子全集第十一巻」新日本出版社"
"観念性と抒情性","――伊藤整氏『街と村』について――","「宮本百合子全集第十一巻」新日本出版社"
"作家の死","――本庄陸男氏のこと――","「宮本百合子全集第十一巻」新日本出版社"
"文学と婦人","宮本百合子","「宮本百合子全集第十一巻」新日本出版社"
"新女性のルポルタージュより","宮本百合子","「宮本百合子全集第十一巻」新日本出版社"
"女流作家として私は何を求むるか","宮本百合子","「宮本百合子全集第十巻」新日本出版社"
"文壇はどうなる","宮本百合子","「宮本百合子全集第十巻」新日本出版社"
"こういう月評が欲しい","宮本百合子","「宮本百合子全集第十巻」新日本出版社"
"婦人と文学の話","宮本百合子","「宮本百合子全集第十巻」新日本出版社"
"同志小林多喜二の業績","――作品を中心として――","「宮本百合子全集第十巻」新日本出版社"
"同志小林の業績の評価に寄せて","――誤れる評価との闘争を通じて――","「宮本百合子全集第十巻」新日本出版社"
"前進のために","――決議によせて――","「宮本百合子全集第十巻」新日本出版社"
"小説の読みどころ","宮本百合子","「宮本百合子全集第十巻」新日本出版社"
"小説の選を終えて","宮本百合子","「宮本百合子全集第十巻」新日本出版社"
"見落されている急所","――文学と生活との関係にふれて――","「宮本百合子全集第十巻」新日本出版社"
"二つの場合","宮本百合子","「宮本百合子全集第十巻」新日本出版社"
"不満と希望","――男性作家の描く女性について（『読売新聞』記者との一問一答）――","「宮本百合子全集第十巻」新日本出版社"
"作家研究ノート","――『文学古典の再認識』の執筆者の一人として――","「宮本百合子全集第十巻」新日本出版社"
"新年号の『文学評論』その他","宮本百合子","「宮本百合子全集第十巻」新日本出版社"
"坪内先生について","宮本百合子","「宮本百合子全集第十巻」新日本出版社"
"女流作家多難","――創作上の諸問題――","「宮本百合子全集第十巻」新日本出版社"
"私の会ったゴーリキイ","宮本百合子","「宮本百合子全集第十巻」新日本出版社"
"「夜明け前」についての私信","宮本百合子","「宮本百合子全集第十巻」新日本出版社"
"十月の文芸時評","宮本百合子","「宮本百合子全集第十巻」新日本出版社"
"「ゴーリキイ伝」の遅延について","宮本百合子","「宮本百合子全集第十巻」新日本出版社"
"含蓄ある歳月","――野上彌生子さんへの手紙――","「宮本百合子全集第十巻」新日本出版社"
"作家と時代意識","宮本百合子","「宮本百合子全集第十二巻」新日本出版社"
"古典からの新しい泉","宮本百合子","「宮本百合子全集第十二巻」新日本出版社"
"シートンの「動物記」","宮本百合子","「宮本百合子全集第十二巻」新日本出版社"
"ヴォルフの世界","宮本百合子","「宮本百合子全集第十二巻」新日本出版社"
"実感への求め","宮本百合子","「宮本百合子全集第十二巻」新日本出版社"
"作品の主人公と心理の翳","宮本百合子","「宮本百合子全集第十二巻」新日本出版社"
"「保姆」の印象","宮本百合子","「宮本百合子全集第十二巻」新日本出版社"
"漱石と自分","狩野亨吉","「狩野亨吉遺文集」岩波書店"
"支那目録學","内藤湖南","「内藤湖南全集第十二卷」筑摩書房"
"日本文化とは何ぞや（其二）","内藤湖南","「内藤湖南全集第九卷」筑摩書房"
"ドレフュー大疑獄とエミール・ゾーラ","幸徳秋水","「日本プロレタリア文学大系（序）」三一書房"
"トコヨゴヨミ","田山花袋","「日本プロレタリア文学大系序」三一書房"
"生活においての統一","宮本百合子","「宮本百合子全集第十三巻」新日本出版社"
"民主戦線と文学者","宮本百合子","「宮本百合子全集第十三巻」新日本出版社"
"ゴルバートフ「降伏なき民」","宮本百合子","「宮本百合子全集第十三巻」新日本出版社"
"俳優生活について","宮本百合子","「宮本百合子全集第十三巻」新日本出版社"
"商売は道によってかしこし","宮本百合子","「宮本百合子全集第十三巻」新日本出版社"
"ディフォーメイションへの疑問","宮本百合子","「宮本百合子全集第十三巻」新日本出版社"
"作品と生活のこと","宮本百合子","「宮本百合子全集第十三巻」新日本出版社"
"第一回日本アンデパンダン展批評","宮本百合子","「宮本百合子全集第十三巻」新日本出版社"
"一九四七・八年の文壇","――文学における昨年と今年――","「宮本百合子全集第十三巻」新日本出版社"
"真夏の夜の夢","宮本百合子","「宮本百合子全集第十三巻」新日本出版社"
"“慰みの文学”","宮本百合子","「宮本百合子全集第十三巻」新日本出版社"
"自我の足かせ","宮本百合子","「宮本百合子全集第十三巻」新日本出版社"
"生きつつある自意識","宮本百合子","「宮本百合子全集第十三巻」新日本出版社"
"戦争と婦人作家","宮本百合子","「宮本百合子全集第十三巻」新日本出版社"
"ワンダ・ワシレーフスカヤ","宮本百合子","「宮本百合子全集第十三巻」新日本出版社"
"『労働戦線』小説選後評","宮本百合子","「宮本百合子全集第十三巻」新日本出版社"
"討論に即しての感想","――新日本文学会第四回大会最終日に――","「宮本百合子全集第十三巻」新日本出版社"
"事実にたって","――一月六日アカハタ「火ばな」の投書について――","「宮本百合子全集第十三巻」新日本出版社"
"河上氏に答える","宮本百合子","「宮本百合子全集第十三巻」新日本出版社"
"「現代日本小説大系」刊行委員会への希望","宮本百合子","「宮本百合子全集第十三巻」新日本出版社"
"その柵は必要か","宮本百合子","「宮本百合子全集第十三巻」新日本出版社"
"文学について","宮本百合子","「宮本百合子全集第十三巻」新日本出版社"
"「ヒロシマ」と「アダノの鐘」について","宮本百合子","「宮本百合子全集第十三巻」新日本出版社"
"鉛筆の詩人へ","宮本百合子","「宮本百合子全集第十三巻」新日本出版社"
"彼女たち・そしてわたしたち","――ロマン・ロランの女性――","「宮本百合子全集第十三巻」新日本出版社"
"病菌とたたかう人々","宮本百合子","「宮本百合子全集第十三巻」新日本出版社"
